Unnamed: 0,text,yoga,therapy,workout,Processed_tweet
3612,RT @GavinGeddes7: @Kalimaxos1 Thanks mate. My life story #Soundtracktoalife last chapter happening now in real-time.#TrueStory #book #film…,0,0,0,@GavinGeddes7: @Kalimaxos1 Thanks mate. My life story #Soundtracktoalife last chapter happening real-time.#TrueStory #book #film…
3613,"You know what they say, your choice of food determines your mood. Be sure to make healthy choices always.… https://t.co/63RGKjLLoR",0,0,0,"You know say, choice food determines mood. Be sure make healthy choice always.… https://t.co/63RGKjLLoR"
3614,"60+ suffering from Mental health issues.
Click here to read more: https://t.co/zlHNbRjQqK

#health #mentalhealth… https://t.co/b1i7wxg1fH",0,0,0,60+ suffering Mental health issues. Click read more: https://t.co/zlHNbRjQqK #health #mentalhealth… https://t.co/b1i7wxg1fH
3615,"RT @KariJoys: What a #JOY to travel the way of the #heart. #Rumi

#JoyTrain &gt;https://t.co/X7w2jFQ0Fn #Love #Kindness #kjoys00 #MentalHealth…",0,0,0,@KariJoys: What #JOY travel way #heart. #Rumi #JoyTrain &gt;https://t.co/X7w2jFQ0Fn #Love #Kindness #kjoys00 #MentalHealth…
3616,"RT @ONThealth: Feeling overwhelmed this #HolidaySeason?

Connect with a helpful, supportive system navigation specialist at @ConnexOntario…",0,0,0,"@ONThealth: Feeling overwhelmed #HolidaySeason? Connect helpful, supportive system navigation specialist @ConnexOntario…"
3617,"RT @sos_children: With supportive caregivers by their side, children can grow confidence &amp; reach for the stars.💙🚀 

13-year-old Malak from…",0,0,0,"@sos_children: With supportive caregiver side, child grow confidence &amp; reach stars.💙🚀 13-year-old Malak from…"
3618,Tips for healthy head space. #mentalhealth https://t.co/oe8BapMPjH,0,0,0,Tips healthy head space. https://t.co/oe8BapMPjH
3619,Action Alert: Tell @GovKathyHochul to prioritize people &amp; not insurance plans by signing the #MentalHealth Access B… https://t.co/EEuqDSmfxP,0,0,0,Action Alert: Tell @GovKathyHochul prioritize people &amp; insurance plan signing #MentalHealth Access B… https://t.co/EEuqDSmfxP
3620,"Surround yourself with safe people who make you feel seen, loved and appreciated ❤️

#mentalhealth #selflove… https://t.co/Sgry87HDRX",0,0,0,"Surround safe people make feel seen, loved appreciated ❤️ #selflove… https://t.co/Sgry87HDRX"
3621,"RT @TonyCurran69: See you on the other side my friend, you got this, best of luck! If you can please go to one of the Twitter links you can…",0,0,0,"@TonyCurran69: See side friend, got this, best luck! If please go one Twitter link can…"
3622,Study shows that oral medication delays the relapse of agitation in Alzheimer's patients. #MentalHealth… https://t.co/SF993yEa05,0,0,0,Study show oral medication delay relapse agitation Alzheimer's patients. #MentalHealth… https://t.co/SF993yEa05
3623,RT @KariJoys: #Kindness can change the world! #JoyTrain #Joy #Love #MentalHealth #Mindfulness RT @1228erin   https://t.co/tI25enLaOU,0,0,0,@KariJoys: #Kindness change world! #JoyTrain #Joy #Love #MentalHealth #Mindfulness @1228erin https://t.co/tI25enLaOU
3624,"RT @menshealthfdn: New episode alert! 

Former #NHL goaltender, coach &amp; Olympian @CoreyHirsch joins host @sportsnetmurph to discuss his per…",0,0,0,"@menshealthfdn: New episode alert! Former #NHL goaltender, coach &amp; Olympian @CoreyHirsch join host @sportsnetmurph discus per…"
3625,RT @ImransLegalMind: It’s a tough time of the year for many and this year feels heavier with many difficult world events. If you are strugg…,0,0,0,@ImransLegalMind: It’s tough time year many year feel heavier many difficult world events. If strugg…
3626,RT @BackyardBooks: #health #mentalhealth #dementia #eldercare #caregiving Are you worried about dementia? Is someone in your family affecte…,0,0,0,@BackyardBooks: #health #dementia #eldercare #caregiving Are worried dementia? Is someone family affecte…
3627,"Hate my autism. Hate my anxiety. I feel needy. Weak. Don't want to ask for help. I feel irresponsible, I can't even… https://t.co/mlAJApvrpB",0,0,0,"Hate autism. Hate anxiety. I feel needy. Weak. Don't want ask help. I feel irresponsible, I can't even… https://t.co/mlAJApvrpB"
3628,Germany's Federal Ministry of Education and Research has provided a grant of €2.6m for a study exploring the effica… https://t.co/qjfb1cUkW6,0,0,0,Germany's Federal Ministry Education Research provided grant €2.6m study exploring effica… https://t.co/qjfb1cUkW6
3629,"RT @fariharizwan646: ذہنی مریض 
#qadiyanirealface
#mentalhealth 
#Qatar2022 
#SearchTheTruth https://t.co/6XTbC4pXlP",0,0,0,@fariharizwan646: ذہنی مریض #qadiyanirealface #Qatar2022 #SearchTheTruth https://t.co/6XTbC4pXlP
3630,"RT @speedomick: I appreciate the concern people but a bit of extreme weather never bothered me 🤣🥶✌️

We've raised £800K over 7yrs... can we…",0,0,0,@speedomick: I appreciate concern people bit extreme weather never bothered 🤣🥶✌️ We've raised £800K 7yrs... we…
3631,RT @inclusionhants: Christmas can be a difficult time for lots of us - we've put together some links and ideas to support your mental healt…,0,0,0,@inclusionhants: Christmas difficult time lot u - we've put together link idea support mental healt…
3632,RT @ross_fight: Leave a review of the FIGHT series! ❤️ 🇺🇸  #amwriting  #Fight  #mentalhealth  #VeteransUnite  #VeteransAwareness https://t.…,0,0,0,@ross_fight: Leave review FIGHT series! ❤️ 🇺🇸 #amwriting #Fight #VeteransUnite #VeteransAwareness https://t.…
3633,"RT @TinyEYETherapy: Looking for some last-minute gift ideas for educators?🎁 Here are a few ideas: Personalized stationery/gifts, something…",0,1,0,"@TinyEYETherapy: Looking last-minute gift idea educators?🎁 Here ideas: Personalized stationery/gifts, something…"
3634,"RT @speedomick: I appreciate the concern people but a bit of extreme weather never bothered me 🤣🥶✌️

We've raised £800K over 7yrs... can we…",0,0,0,@speedomick: I appreciate concern people bit extreme weather never bothered 🤣🥶✌️ We've raised £800K 7yrs... we…
3635,"RT @jackefisher: #jobalert - Consultant @WHO Framework for Meaningful Engagement of People Living with #NCDs, #mentalhealth conditions + #n…",0,0,0,"@jackefisher: #jobalert - Consultant @WHO Framework Meaningful Engagement People Living #NCDs, condition + #n…"
3636,"https://t.co/X6VrGC7GBO

To listen and share your queries.
Pray for my Mother in Law.
Jazzak Allah khair 

#hinabeg… https://t.co/1Uw1jkL8g1",0,0,0,https://t.co/X6VrGC7GBO To listen share queries. Pray Mother Law. Jazzak Allah khair #hinabeg… https://t.co/1Uw1jkL8g1
3637,"Whatever your faith, spirituality can be an important part of your mental health self care. #resilience #growth… https://t.co/aF3BOJroVu",0,0,0,"Whatever faith, spirituality important part mental health self care. #resilience #growth… https://t.co/aF3BOJroVu"
3638,"RT @nestheads: Sign up for launch reminder:
https://t.co/kUjlQuyHMw

#mentalhealth #brain #illustration #drawing #cute #indiedev #gamedev #…",0,0,0,@nestheads: Sign launch reminder: https://t.co/kUjlQuyHMw #brain #illustration #drawing #cute #indiedev #gamedev #…
3639,RT @EBPUnit: Three opportunities in early 2023 for free training for local area leaders in #MentalHealth: Developing &amp; Evaluating a Cross-S…,0,0,0,@EBPUnit: Three opportunity early 2023 free training local area leader #MentalHealth: Developing &amp; Evaluating Cross-S…
3640,Several studies show that women with infertility have higher rates of anxiety and depression compared to their… https://t.co/V68xNhNc3V,0,0,0,Several study show woman infertility higher rate anxiety depression compared their… https://t.co/V68xNhNc3V
3641,"The Centre of #Psychology, in #collaboration with the Dean of Student Welfare (DSW), organised an expert lecture by… https://t.co/yoQMuyhahB",0,0,0,"The Centre #Psychology, #collaboration Dean Student Welfare (DSW), organised expert lecture by… https://t.co/yoQMuyhahB"
3642,"RT @melanie_korach: For everyone I know and don’t know. For the strong and the brave and for those who have lost their strength, because ev…",0,0,0,"@melanie_korach: For everyone I know don’t know. For strong brave lost strength, ev…"
3643,"RT @SadKidClubhouse: gm to anyone who ever wasn't sure they wanted to see another gm. 
I'm glad you're still here 💚 

I hope everyone has a…",0,0,0,@SadKidClubhouse: gm anyone ever sure wanted see another gm. I'm glad still 💚 I hope everyone a…
3644,"RT @DebiecJacek: Homelessness and #mentalhealth are related. 45% of the homeless have mental illness, 25% - serious mental illness

""The ne…",0,0,0,"@DebiecJacek: Homelessness related. 45% homeless mental illness, 25% - serious mental illness ""The ne…"
3645,"Sign up for launch reminder:
https://t.co/kUjlQuyHMw

#mentalhealth #brain #illustration #drawing #cute #indiedev… https://t.co/ykYyNZPakS",0,0,0,Sign launch reminder: https://t.co/kUjlQuyHMw #brain #illustration #drawing #cute #indiedev… https://t.co/ykYyNZPakS
3646,I don’t do bashings nor public verbal lynching. It’s never been my style nor mission to disrespect anyone in their… https://t.co/egnqMK7qgA,0,0,0,I don’t bashings public verbal lynching. It’s never style mission disrespect anyone their… https://t.co/egnqMK7qgA
3647,"We need people around us; good people; family, friends, and even strangers.
You will be surprised at how their litt… https://t.co/tEScOeqmX4",0,0,0,"We need people around us; good people; family, friends, even strangers. You surprised litt… https://t.co/tEScOeqmX4"
3648,"RT @LEAD_Coalition: #Depression and #dementia may be treatable using eye stimulation therapy https://t.co/5h3QjBKcdk by @scmpnews 

#mental…",0,1,0,@LEAD_Coalition: #Depression #dementia may treatable using eye stimulation therapy https://t.co/5h3QjBKcdk @scmpnews #mental…
3649,RT @MOMHFoundation: ❄️ We are excited to bring you all 25 DAYS of MENTAL HEALTH TIPS! We will post tips leading up to December 25th to get…,0,0,0,@MOMHFoundation: ❄️ We excited bring 25 DAYS MENTAL HEALTH TIPS! We post tip leading December 25th get…
3650,RT @NASPTweets: New Evidence Information Notes we produced for @NaturalEngland show that there is large body of evidence highlighting the b…,0,0,0,@NASPTweets: New Evidence Information Notes produced @NaturalEngland show large body evidence highlighting b…
